SMILES,Set,Actual,Predicted,ALogPS_logS,Mi:(Dragon7),nBM:(Dragon7),PCR:(Dragon7),VE2_Dz(Z):(Dragon7),VR2_Dz(Z):(Dragon7),SpDiam_B(m):(Dragon7),EE_B(m):(Dragon7),AVS_B(v):(Dragon7),SpPosA_B(v):(Dragon7),SpMax_B(v):(Dragon7),SpPosA_B(p):(Dragon7),SpMax_B(p):(Dragon7),EE_B(s):(Dragon7),GATS1i:(Dragon7),SpMax1_Bh(v):(Dragon7),SpMax4_Bh(s):(Dragon7),SpMin1_Bh(e):(Dragon7),SpMax_EA(bo):(Dragon7),TDB01v:(Dragon7),TDB03v:(Dragon7),Uc:(Dragon7),MLOGP:(Dragon7),ALOGP:(Dragon7),ALOGP2:(Dragon7),Residual,Standardized_Residual,Prediction_Quality
OC(=O)C1=C(Cl)C=CC2=CC(Cl)=CN=C12,Training,18.7,48.37053743326716,-3.51,1.103,12,1.427,0.231,1.04,5.987,5.302,3.541,1.325,3.931,1.311,3.923,7.907,0.962,4.019,4.799,2.031,4.555,1.107,2.208,3.7,2.758,2.95,8.7,-29.67053743326716,-1.743190925677708,Good
C1=CC2=C(C=C1)N=CC=C2,Training,34.3,30.277898557001176,-1.58,1.103,11,1.465,0.273,1.063,5.647,4.602,3.677,1.346,3.806,1.338,3.797,5.632,1.009,3.986,3.42,2.028,4.291,0.926,1.516,3.585,2.066,2.016,4.065,4.022101442998821,0.2363048109040846,Good
CC(=C)[C@@H]1CC=C(C)C(=O)C1,Training,24.0,24.391516416824754,-2.11,1.125,3,1.135,0.265,0.968,5.149,4.547,3.281,1.292,3.557,1.278,3.545,7.53,1.2,3.839,3.692,1.914,3.476,0.791,1.32,2.0,2.153,2.361,5.576,-0.3915164168247536,-0.023002207715238195,Good
Cl.CCNC1=CC2=C(C=C1C)C(C1=CC=CC=C1C(=O)OCC)=C1C=C(C)\C(C=C1O2)=N\CC,Training,91.8,76.98221977563733,-5.41,1.118,17,1.439,0.154,1.077,5.915,5.714,3.496,1.296,3.953,1.276,3.944,7.805,1.191,4.049,4.677,2.049,4.396,0.856,1.694,4.17,4.052,5.435,29.54,14.817780224362664,0.8705679863026096,Good
O=C(CCCCCCCCC1=CN=CC=C1)N1CCC(CC1)C=C(C1=CC=CC=C1)C1=CC=CC=C1,Training,-38.3,-26.88607419746372,-6.74,1.12,20,1.319,0.151,1.069,5.49,5.719,3.454,1.287,3.751,1.279,3.751,7.762,1.225,3.971,4.688,2.002,3.953,0.837,1.235,4.392,5.39,7.469,55.79,-11.413925802536276,-0.6705861641397635,Good
CN1C(COC(N)=O)=NC=C1[N+]([O-])=O,Training,9.7,18.920790110692735,-1.62,1.166,8,1.252,0.244,0.972,5.468,4.987,3.27,1.243,3.72,1.171,3.656,8.634,1.934,3.819,4.942,1.664,4.232,0.762,1.587,3.17,-0.35,-0.087,0.008,-9.220790110692736,-0.5417359791574354,Good
CC(C)NC1=NC(Cl)=NC(N)=N1,Training,15.8,17.112825052886393,-2.76,1.167,6,1.248,0.264,0.969,5.531,4.876,3.207,1.246,3.587,1.22,3.535,6.201,2.026,3.642,4.156,1.713,3.812,0.777,1.304,2.807,1.939,1.632,2.662,-1.3128250528863923,-0.07713054488281705,Good
OC(=O)C1=C(O)C=CC=C1,Training,55.9,61.92442887806208,-1.09,1.117,7,1.304,0.277,0.967,5.416,4.564,3.334,1.264,3.685,1.207,3.669,7.982,0.835,3.843,4.602,1.886,3.906,0.894,1.542,3.0,1.643,1.167,1.362,-6.024428878062082,-0.3539447095034356,Good
Cl.CCOC(=O)C1=CC=C(C=C1)[C@H]1CC[C@@H](CC1)NC[C@H](O)COC1=CC=C(O)C(NS(C)(=O)=O)=C1,Training,61.4,47.10644565478149,-4.4,1.131,15,1.291,0.156,1.043,6.365,5.933,3.346,1.247,3.757,1.212,3.857,8.809,1.36,3.939,6.47,1.984,4.449,0.841,1.28,4.0,1.656,3.368,11.35,14.29355434521851,0.8397688881202857,Good
Cl.CC1=NC(=NO1)C1=CC2=C(CCN(CCC3CCC(CC3)NC(=O)\C=C\C3=CC=C(F)C=C3)CC2)C=C1,Training,-24.0,-6.7470838028280795,-4.39,1.13,19,1.382,0.151,1.094,5.591,5.799,3.466,1.279,3.776,1.255,3.76,8.717,1.178,3.962,4.694,1.953,4.064,0.852,1.34,4.322,5.599,5.36,28.73,-17.25291619717192,-1.013636069923939,Good
CCC\C(=N/OCC)C1=C(O)CC(CC(C)SCC)CC1=O,Training,55.5,45.51378972656745,-3.87,1.134,3,1.114,0.188,0.981,5.419,5.272,3.145,1.242,3.671,1.232,3.651,7.856,1.286,3.86,4.252,1.913,3.946,0.785,1.206,2.0,2.298,3.13,9.798,9.986210273432548,0.5867056223605539,Good
[Na+].[O-]N1C=CC=CC1=S,Training,3.5,16.813367236088652,-1.47,1.112,3,1.222,0.298,0.961,5.342,4.577,3.323,1.299,3.51,1.312,3.554,6.641,0.876,3.716,3.628,1.769,3.279,0.899,1.511,2.0,0.667,0.219,0.048,-13.313367236088652,-0.7821813476874772,Good
[Na+].CC(C)COC(=O)CC(C(=O)OCC(C)C)S([O-])(=O)=O,Training,66.3,62.16470528330155,-2.92,1.142,4,1.061,0.196,0.93,6.047,5.494,3.082,1.213,3.734,1.156,3.874,8.928,1.707,3.838,6.999,1.802,4.531,0.782,1.133,2.322,1.026,1.505,2.265,4.135294716698446,0.24295509447258187,Good
[Na+].[S-]C1=NC2=CC=CC=C2S1,Training,96.3,87.26595334418558,-2.94,1.078,10,1.412,0.282,1.062,5.971,5.018,3.69,1.388,3.89,1.455,3.962,5.691,0.875,3.988,3.679,1.898,4.396,1.134,1.969,3.459,1.769,2.815,7.926,9.034046655814421,0.5307645063047532,Good
[Na+].CC1=CC=CC=C1S([O-])(=O)=O,Training,10.8,17.744914141835114,-1.8,1.116,8,1.312,0.265,0.968,6.367,5.199,3.416,1.29,3.868,1.257,3.98,8.311,1.173,3.966,4.702,1.963,4.701,0.958,1.687,3.17,1.184,1.28,1.637,-6.944914141835113,-0.4080246722489069,Good
[Na+].CC1=CC=C(C)C(=C1)S([O-])(=O)=O,Training,34.7,26.23317724855495,-2.2,1.119,8,1.299,0.259,0.97,6.424,5.245,3.399,1.291,3.89,1.26,3.993,8.314,1.204,3.982,4.691,1.98,4.71,0.923,1.725,3.17,1.518,1.766,3.118,8.466822751445054,0.4974392062441105,Good
[Na+].CC1=CC=C(C=C1)S([O-])(=O)=O,Training,16.6,22.108164215224033,-1.87,1.116,8,1.306,0.267,0.968,6.345,5.198,3.416,1.29,3.844,1.257,3.96,8.311,1.173,3.958,4.699,1.959,4.66,0.957,1.618,3.17,1.184,1.28,1.637,-5.508164215224031,-0.32361334535031067,Good
[Na+].CCCCCCCCC1=CC=C(C=C1)S([O-])(=O)=O,Training,101.3,96.81925774648728,-4.7,1.128,8,1.239,0.217,0.976,6.345,5.412,3.264,1.258,3.844,1.237,3.96,8.328,1.312,3.968,4.685,1.972,4.66,0.826,1.122,3.17,4.158,4.473,20.01,4.480742253512716,0.26325068274181135,Good
[Na+].[N-]=[N+]=[N-],Training,6.3,12.613021217194492,-1.69,1.257,2,1.277,0.471,0.667,4.283,3.463,2.778,1.219,2.9,1.13,2.767,6.6,0.833,2.994,0.717,1.149,2.0,0.457,0.622,1.585,-2.403,-0.809,0.655,-6.313021217194492,-0.37089996513125134,Good
[Na+].[O-]C(=O)CCl,Training,9.3,6.295285155503324,0.47,1.149,1,1.08,0.434,0.742,4.689,4.186,2.792,1.164,3.118,1.11,3.062,7.762,1.588,3.332,2.67,1.396,2.686,0.872,1.116,1.0,0.133,0.515,0.265,3.004714844496677,0.1765317417305358,Good
[Na+].CCCCCCCCCCOS([O-])(=O)=O,Training,98.9,91.73639862204882,-3.48,1.144,2,1.045,0.236,0.907,5.659,5.228,2.979,1.194,3.608,1.159,3.755,8.317,1.765,3.694,4.37,1.814,4.423,0.738,0.852,1.585,3.466,3.129,9.788,7.163601377951181,0.4208728926903622,Good
[Na+].C\C([O-])=C1\C(=O)OC(C)=CC1=O,Training,41.7,42.50299772433755,-1.4,1.125,4,1.193,0.232,0.972,5.491,4.751,3.273,1.272,3.7,1.213,3.666,8.32,1.189,3.77,4.609,1.793,3.939,0.859,1.732,2.322,0.534,0.254,0.065,-0.8029977243375441,-0.04717738428410127,Good
[Na+].[O-]C1=NC(=O)N(Cl)C(=O)N1Cl,Training,13.8,17.79465657154669,-2.65,1.168,3,1.138,0.278,0.964,5.522,5.053,3.198,1.216,3.55,1.163,3.482,8.351,2.264,3.547,4.773,1.552,3.642,1.006,2.362,2.0,0.03,1.22,1.489,-3.994656571546688,-0.23469238136925225,Good
O.O.[Na+].[O-]C1=NC(=O)N(Cl)C(=O)N1Cl,Training,15.9,17.79465657154669,-2.65,1.168,3,1.138,0.278,0.964,5.522,5.053,3.198,1.216,3.55,1.163,3.482,8.351,2.264,3.547,4.773,1.552,3.642,1.006,2.362,2.0,0.03,1.22,1.489,-1.8946565715466885,-0.11131406534930917,Good
[Na+].CN(C)C([S-])=S,Training,50.3,30.377464814300097,-2.44,1.122,1,1.066,0.394,0.789,5.04,4.507,2.963,1.289,3.314,1.399,3.467,5.316,1.475,3.443,3.467,1.537,2.947,0.8,1.577,1.0,0.202,1.498,2.245,19.9225351856999,1.170480400980818,Good
[Na+].CCCCCCCCCCCCOS([O-])(=O)=O,Training,102.3,99.700483464539,-4.37,1.143,2,1.039,0.221,0.917,5.671,5.292,2.985,1.198,3.608,1.165,3.755,8.322,1.729,3.704,4.37,1.826,4.423,0.734,0.845,1.585,4.038,4.041,16.33,2.5995165354609924,0.15272570124341614,Good
[Na+].CCCCCCCCCCCCC1=CC=CC=C1S([O-])(=O)=O,Training,102.5,96.76705790770397,-5.78,1.13,8,1.234,0.197,0.979,6.366,5.518,3.223,1.251,3.867,1.234,3.979,8.338,1.349,3.979,4.691,1.978,4.704,0.799,1.068,3.17,5.145,6.298,39.66,5.732942092296028,0.3368194005653967,Good
[Na+].CCCCC(CC)COS([O-])(=O)=O,Training,81.3,70.12188222487156,-2.46,1.145,2,1.053,0.237,0.895,5.788,5.167,2.987,1.189,3.611,1.15,3.757,8.313,1.816,3.719,4.394,1.817,4.424,0.745,0.957,1.585,1.933,2.079,4.323,11.178117775128442,0.6567320701752095,Good
[Na+].[O-]C(=O)CF,Training,8.1,13.149606049241829,0.05,1.199,1,1.08,0.433,0.744,4.419,3.802,2.703,1.109,3.097,1.007,3.012,8.673,1.178,3.303,2.961,1.385,2.686,0.722,0.813,1.0,-0.116,0.252,0.063,-5.049606049241829,-0.2966723290093213,Good
[Na+].CCCCCCCCCCCCCCCCOS([O-])(=O)=O,Training,78.0,85.01731822864527,-5.6,1.142,2,1.03,0.198,0.932,5.685,5.41,2.994,1.201,3.608,1.176,3.755,8.332,1.679,3.72,4.371,1.839,4.423,0.728,0.836,1.585,5.079,5.866,34.41,-7.017318228645266,-0.41227852667919185,Good
[Na+].[I-],Training,9.5,17.537887599680317,-5.6,0.456,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.037887599680317,-0.4722385887648286,Good
[Na+].CC1=CC=C(C(C)=C1)S([O-])(=O)=O,Training,27.8,26.20173610474403,-2.23,1.119,8,1.298,0.245,0.97,6.424,5.245,3.399,1.296,3.886,1.265,3.99,8.314,1.204,3.98,4.691,1.98,4.706,0.923,1.725,3.17,1.518,1.766,3.118,1.5982638952559718,0.09390052759626501,Good
[Na+].CC(=C)C([O-])=O,Training,2.4,10.123892392065432,0.12,1.139,2,1.131,0.397,0.786,4.894,4.0,2.984,1.242,3.393,1.179,3.359,7.756,1.313,3.553,3.562,1.646,3.236,0.714,1.175,1.585,0.479,0.914,0.836,-7.723892392065432,-0.4537908745010872,Good
[Na+].COS([O-])(=O)=O,Training,11.3,21.604057852095302,-0.56,1.159,2,1.131,0.34,0.811,5.489,4.873,2.921,1.151,3.607,1.073,3.755,8.296,2.491,3.614,4.414,1.505,4.421,0.832,1.287,1.585,-1.155,-0.937,0.879,-10.304057852095301,-0.6053796695064715,Good
[Na+].CCCCCCCCCCCCCCOS([O-])(=O)=O,Training,98.8,100.61943740708433,-5.05,1.143,2,1.034,0.209,0.925,5.679,5.353,2.99,1.2,3.608,1.172,3.755,8.327,1.701,3.713,4.371,1.834,4.423,0.731,0.843,1.585,4.573,4.953,24.54,-1.8194374070843367,-0.10689482066178911,Good
[Na+].[O-]C(=O)C(Cl)(Cl)Cl,Training,0.3,7.173109506432452,-1.89,1.135,1,1.056,0.373,0.807,5.434,4.915,2.937,1.244,3.433,1.244,3.442,7.841,1.461,3.428,4.11,1.352,3.472,1.346,2.175,1.0,0.996,1.448,2.098,-6.873109506432452,-0.40380603653538005,Good
[Na+].CCCCCCCCCCCCCOS([O-])(=O)=O,Training,104.5,102.28251753626324,-4.7,1.143,2,1.036,0.215,0.921,5.676,5.323,2.988,1.198,3.608,1.169,3.755,8.325,1.714,3.709,4.37,1.83,4.423,0.732,0.847,1.585,4.31,4.497,20.23,2.217482463736758,0.13028059627599795,Good
[Na+].CC1=C(C)C=C(C=C1)S([O-])(=O)=O,Training,19.4,27.107429161699216,-2.28,1.119,8,1.295,0.263,0.969,6.422,5.245,3.399,1.293,3.871,1.262,3.976,8.314,1.204,3.976,4.689,1.978,4.67,0.923,1.709,3.17,1.518,1.766,3.118,-7.707429161699217,-0.45282363372069095,Good
CCC(C)(C)C(=O)OC1=C(C(=O)OC11CCCCC1)C1=CC=C(Cl)C=C1Cl,Training,42.6,35.85045278116894,-6.34,1.12,9,1.205,0.155,1.058,5.793,5.662,3.38,1.273,3.853,1.256,3.843,8.3,1.217,3.961,4.697,1.925,4.266,0.901,1.492,3.322,4.741,6.385,40.76,6.7495472188310615,0.3965465570268889,Good
CC(=O)S[C@@H]1CC2=CC(=O)CC[C@]2(C)C2CC[C@@]3(C)C(CC[C@@]33CCC(=O)O3)C12,Training,-5.9,2.1292866350908737,-5.32,1.121,4,1.065,0.166,1.12,5.593,5.6,3.424,1.278,3.753,1.267,3.756,8.598,1.122,4.05,4.604,2.05,3.963,0.896,1.504,2.322,3.772,3.592,12.9,-8.029286635090873,-0.4717332685137844,Good
CCCN(CC)CC1COC2(CCC(CC2)C(C)(C)C)O1,Training,16.4,17.467785467911188,-4.07,1.142,0,1.0,0.192,1.027,4.961,5.028,3.122,1.216,3.456,1.197,3.436,5.91,1.716,3.852,3.995,1.924,3.426,0.715,1.083,0.0,3.286,3.783,14.31,-1.0677854679111896,-0.0627340823340236,Good
Cl.FC(F)(F)C1=C(Cl)C(C(=O)NC(C2CN3CCC2CC3)C2=CC=CC=C2)=C(Cl)C=C1,Training,-45.0,-20.577509873302144,-6.02,1.139,13,1.218,0.172,1.083,5.87,5.769,3.419,1.258,3.843,1.229,3.84,9.49,0.982,3.954,7.429,1.995,4.28,0.949,1.522,3.807,5.308,5.456,29.77,-24.422490126697856,-1.4348598594503181,Good
FC(F)(F)C1=CC=CC(C(=O)N[C@H]([C@@H]2CCCCN2)C2=CC=CC=C2)=C1Cl,Training,4.4,17.779352109764567,-5.93,1.143,13,1.262,0.182,1.056,5.752,5.591,3.375,1.247,3.794,1.21,3.787,9.482,0.953,3.927,7.429,1.956,4.174,0.911,1.442,3.807,4.412,4.806,23.09,-13.379352109764566,-0.7860580632098214,Good
COC1=CC2=C(C(=O)N(COC3=CC(=O)N4C=CC=C(OCCN5CCCCC5)C4=N3)S2(=O)=O)C(=C1)C(C)C,Training,22.0,28.787968035085417,-4.55,1.129,14,1.32,0.143,1.089,6.521,6.063,3.445,1.261,4.013,1.23,4.093,8.92,1.603,4.073,6.999,1.957,4.883,0.862,1.548,3.907,2.491,2.341,5.481,-6.787968035085417,-0.39880384065049557,Good
OCC(O)C1=CC=CC=C1,Training,8.5,15.679593686674929,-0.32,1.125,6,1.263,0.292,0.963,5.168,4.444,3.26,1.239,3.581,1.202,3.577,7.096,0.99,3.851,3.674,1.912,3.536,0.807,1.2,2.807,1.044,0.715,0.511,-7.179593686674929,-0.42181246608065126,Good
OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,Training,8.1,7.737249704156241,0.38,1.153,0,1.0,0.196,1.024,5.054,5.217,3.04,1.137,3.501,1.055,3.448,8.414,1.526,3.753,6.454,1.764,3.588,0.763,1.18,0.0,-3.898,-4.31,18.58,0.3627502958437585,0.021312152684256708,Good
NS(O)(=O)=O,Training,47.5,31.576638886013143,-0.34,1.183,2,1.161,0.35,0.788,5.468,4.826,2.912,1.158,3.613,1.056,3.778,8.299,2.377,3.625,4.789,1.531,4.372,0.877,0.584,1.585,-2.805,-1.481,2.193,15.923361113986857,0.9355226093434017,Good
OC(=O)CC(C(O)=O)S(O)(=O)=O,Training,5.8,19.738599772280427,-0.86,1.146,4,1.112,0.267,0.887,6.033,5.246,3.085,1.199,3.734,1.1,3.875,9.039,1.502,3.828,6.999,1.786,4.53,0.935,1.415,2.322,-1.641,-1.381,1.906,-13.938599772280426,-0.8189147464666292,Good
COC1=C(C=C(C(=O)C2=CC=CC=C2)C(O)=C1)S(O)(=O)=O,Training,81.2,85.92137404643744,-3.16,1.111,15,1.371,0.201,1.025,6.538,5.638,3.473,1.28,3.928,1.24,4.008,8.78,1.073,3.994,6.468,1.978,4.726,0.972,1.894,4.0,1.878,1.914,3.663,-4.7213740464374325,-0.2773881805474833,Good
ClN1C(=O)N(Cl)C(=O)N(Cl)C1=O,Training,27.1,18.916324450964055,-3.86,1.163,3,1.082,0.0,0.0,5.557,5.249,3.207,1.219,3.556,1.189,3.49,8.597,2.357,3.556,4.782,1.549,3.646,1.103,2.596,2.0,0.002,1.108,1.227,8.183675549035947,0.4808038609969706,Good
CC(C)(C)C(O)(CCC1=CC=C(Cl)C=C1)CN1C=NC=N1,Training,25.5,33.742179078460694,-3.83,1.135,11,1.262,0.201,1.025,5.466,5.341,3.352,1.288,3.641,1.274,3.643,6.969,1.369,3.892,4.348,1.937,3.772,0.819,1.395,3.585,4.013,3.632,13.19,-8.242179078460694,-0.48424103573108895,Good
CCC1=NN(C)C(C(=O)NCC2=CC=C(C=C2)C(C)(C)C)=C1Cl,Training,24.5,34.68056870881049,-4.61,1.132,12,1.299,0.195,1.023,5.737,5.446,3.379,1.287,3.788,1.275,3.761,7.704,1.338,3.924,4.418,1.969,4.289,0.817,1.501,3.7,3.451,4.577,20.95,-10.18056870881049,-0.5981244873420785,Good
COP(=S)(OC)OC1=CC=C(SC2=CC=C(OP(=S)(OC)OC)C=C2)C=C1,Training,101.6,95.90288611102287,-6.51,1.107,14,1.343,0.174,1.02,6.31,6.067,3.375,1.277,3.726,1.333,4.022,6.846,1.248,3.901,4.673,1.914,3.902,0.968,2.06,3.907,3.167,4.91,24.11,5.697113888977128,0.334714437045632,Good
CCC(=NOC\C=C\Cl)C1=C(O)CC(CC1=O)C1CCOCC1,Training,12.4,22.616376654746045,-4.06,1.133,4,1.142,0.179,1.024,5.418,5.36,3.23,1.237,3.676,1.21,3.655,7.916,1.315,3.88,4.794,1.939,3.946,0.824,1.277,2.322,1.657,1.822,3.321,-10.216376654746044,-0.600228260708584,Good
CC1=C(Cl)C(=O)N(C(=O)N1)C(C)(C)C,Training,14.6,25.763836435334078,-2.05,1.143,3,1.117,0.227,0.974,5.601,5.015,3.22,1.264,3.67,1.236,3.639,8.199,1.751,3.76,4.319,1.811,3.879,0.804,1.573,2.0,1.651,1.008,1.016,-11.163836435334078,-0.6558930189112394,Good
CCOP(=S)(OCC)SCSC(C)(C)C,Training,75.3,77.43818483010044,-4.84,1.124,1,1.023,0.233,0.91,5.887,5.497,3.026,1.25,3.557,1.339,4.099,5.893,1.264,3.68,4.099,1.718,3.842,0.877,1.425,1.0,1.971,3.517,12.37,-2.1381848301004425,-0.12562173508437177,Good
CCNC1=NC(NC(C)(C)C)=NC(Cl)=N1,Training,61.0,40.939019177416405,-4.14,1.159,6,1.227,0.223,0.975,5.543,5.026,3.184,1.245,3.597,1.226,3.547,6.164,2.041,3.686,4.154,1.766,3.838,0.747,1.23,2.807,2.893,2.741,7.511,20.060980822583595,1.1786143007613032,Good
CC1=CCC(CC1)C(C)(C)O,Training,3.6,18.740038704612804,-2.0,1.136,1,1.071,0.273,0.967,4.923,4.429,3.13,1.229,3.455,1.211,3.449,6.512,1.326,3.833,3.66,1.926,3.341,0.735,1.12,1.0,2.357,2.415,5.833,-15.140038704612804,-0.8895011808818516,Good
CC(C)=C1CCC(C)=CC1,Training,19.0,16.82370529531737,-1.99,1.128,2,1.154,0.28,0.966,5.058,4.374,3.233,1.264,3.533,1.264,3.533,5.109,1.25,3.845,3.476,1.927,3.513,0.751,1.257,1.585,3.267,3.643,13.27,2.176294704682629,0.12786075039374387,Good
CCC(=O)OC(C)(C)C1CCC(C)=CC1,Training,11.6,25.868810533958708,-3.4,1.135,2,1.077,0.234,0.973,5.008,4.776,3.151,1.227,3.474,1.202,3.461,7.563,1.443,3.839,3.986,1.928,3.435,0.744,1.174,1.585,3.026,3.461,11.98,-14.268810533958709,-0.8383151501368812,Good
CC(=O)OC(C)(C)C,Training,-0.7,0.9530770865646607,-1.19,1.145,1,1.048,0.331,0.839,4.743,4.17,2.913,1.227,3.293,1.179,3.24,7.513,1.787,3.576,3.481,1.703,3.186,0.66,1.013,1.0,1.373,0.952,0.907,-1.6530770865646607,-0.09712088913881026,Good
CC(C)(C)OOC(=O)C1=CC=CC=C1,Training,21.4,48.182833671515006,-3.33,1.126,7,1.236,0.241,0.97,5.284,4.816,3.259,1.252,3.616,1.217,3.602,7.616,1.227,3.842,4.115,1.895,3.671,0.792,1.203,3.0,2.922,3.033,9.2,-26.782833671515007,-1.5735337698255958,Good
CC(C)(C)N,Training,9.9,2.9746748660862803,0.13,1.161,0,1.0,0.0,0.0,4.403,3.554,2.714,1.198,3.174,1.176,3.16,4.941,1.684,3.561,3.467,1.718,3.0,0.586,0.732,0.0,0.8,0.284,0.08,6.92532513391372,0.4068737871013627,Good
CC(C)(C)C1=CC=CC=C1,Training,-1.2,13.396893541988609,-4.04,1.121,6,1.263,0.294,0.965,5.273,4.433,3.337,1.294,3.64,1.294,3.64,5.291,1.15,3.887,3.467,1.95,3.765,0.777,1.277,2.807,3.562,3.23,10.44,-14.596893541988608,-0.8575905449204462,Good
CCCCCCC(C)(C)S,Training,11.2,23.9583572044155,-4.1,1.136,0,1.0,0.288,0.865,4.773,4.426,2.906,1.239,3.263,1.281,3.331,5.002,1.438,3.689,3.582,1.813,3.098,0.707,0.905,0.0,3.608,3.893,15.16,-12.7583572044155,-0.7495736319341396,Good
CCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,Training,31.3,16.78083443907906,-4.84,1.128,3,1.063,0.18,1.101,5.399,5.326,3.367,1.259,3.707,1.238,3.703,8.216,1.244,4.028,4.418,2.05,3.856,0.831,1.351,2.0,4.245,4.379,19.18,14.51916556092094,0.853023903295799,Good
OC(=O)CC1=CC(I)=C(OC2=CC(I)=C(O)C(I)=C2)C(I)=C1,Training,105.0,102.9850038010097,-5.18,1.074,13,1.362,0.189,1.025,12.39,12.08,3.51,1.383,3.844,1.596,4.093,8.073,0.617,3.939,4.867,1.923,4.12,1.297,2.553,3.807,4.562,5.075,25.75,2.0149961989903034,0.11838420848476656,Good
FC(F)C(F)(F)OCC(CN1C=NC=N1)C1=C(Cl)C=C(Cl)C=C1,Training,72.3,51.94592173627294,-4.34,1.172,11,1.257,0.191,1.024,5.668,5.575,3.277,1.241,3.73,1.192,3.736,9.623,1.044,3.906,7.999,1.927,3.93,0.946,1.631,3.585,4.281,4.034,16.27,20.354078263727054,1.1958342382460814,Good
CCN(CC)C(=S)SSC(=S)N(CC)CC,Training,55.2,59.70944773072633,-4.37,1.123,2,1.041,0.217,0.915,5.405,5.39,3.083,1.261,3.442,1.342,3.646,5.951,1.353,3.599,4.121,1.674,3.149,0.852,1.454,1.585,1.761,4.551,20.71,-4.509447730726329,-0.2649371748556992,Good
OCC1CCCO1,Training,7.8,5.327970958905402,0.44,1.147,0,1.0,0.33,0.959,4.144,3.919,2.951,1.177,3.115,1.141,3.076,6.461,1.602,3.65,3.279,1.621,2.521,0.701,0.737,0.0,-0.063,0.001,0.0,2.472029041094598,0.14523560963935533,Good
C1CCC2=C(C1)C=CC=C2,Training,8.9,13.763087528496051,-3.74,1.113,6,1.245,0.283,1.061,5.307,4.437,3.476,1.3,3.657,1.3,3.657,5.208,1.004,3.93,3.354,1.994,3.807,0.848,1.189,2.807,3.562,3.343,11.18,-4.863087528496051,-0.2857140713921094,Good
CC(C)=CC1C(C(=O)OCN2C(=O)C3=C(CCCC3)C2=O)C1(C)C,Training,28.1,25.7807699467627,-3.64,1.129,5,1.102,0.19,1.063,5.375,5.383,3.361,1.253,3.752,1.225,3.731,8.594,1.396,3.967,4.561,1.866,4.036,0.828,1.402,2.585,3.557,3.449,11.9,2.319230053237302,0.1362584278244101,Good
CCCO[Si](OCCC)(OCCC)OCCC,Training,10.3,12.000006804017803,-3.31,1.142,0,1.0,0.0,0.0,4.919,4.973,2.928,1.199,3.574,1.209,4.228,5.976,2.093,3.72,4.296,1.674,3.333,0.769,1.117,0.0,0.943,4.802,23.06,-1.7000068040178018,-0.09987808414388658,Good
O=C1N(C2CCC(=O)NC2=O)C(=O)C2=CC=CC=C12,Training,-9.0,2.7083854659686333,-2.01,1.121,10,1.234,0.21,1.08,5.576,5.233,3.499,1.282,3.824,1.239,3.801,8.85,1.266,3.945,7.408,1.887,4.157,0.944,1.625,3.459,0.735,0.204,0.042,-11.708385465968632,-0.6878861343350412,Good
CN1C2=C(NC=N2)C(=O)N(C)C1=O,Training,9.4,5.571732532183273,-0.9,1.154,7,1.218,0.241,1.045,5.532,4.871,3.407,1.263,3.74,1.216,3.69,8.194,2.091,3.821,4.076,1.716,4.087,0.786,1.726,3.0,0.403,-0.306,0.094,3.828267467816727,0.22491675878721878,Good
N1C2=C(C=CC=C2)N=C1C1=CSC=N1,Training,21.8,34.48107285709661,-3.16,1.107,15,1.477,0.24,1.11,5.795,5.17,3.74,1.375,3.877,1.38,3.864,6.047,1.062,4.007,3.852,1.91,4.437,1.013,1.708,4.0,1.526,2.155,4.642,-12.681072857096613,-0.7450330544927565,Good
CN1COCN(CC2=CN=C(Cl)S2)C1=N[N+]([O-])=O,Training,1.0,27.268258548303397,-2.96,1.151,8,1.219,0.219,1.03,5.771,5.439,3.334,1.27,3.668,1.245,3.763,8.311,1.646,3.782,4.73,1.71,3.738,0.884,1.674,3.17,1.466,2.037,4.148,-26.268258548303397,-1.5433016687934038,Good
COC(=O)C1=C(CC(C)C)C(C2=NCCS2)=C(N=C1C(F)F)C(F)(F)F,Training,26.2,38.29734889040029,-4.11,1.167,8,1.233,0.181,1.022,5.899,5.572,3.235,1.219,3.892,1.166,3.88,9.917,1.002,3.947,7.999,1.942,4.451,0.911,1.727,3.17,3.548,4.925,24.26,-12.097348890400294,-0.7107383497158645,Good
O=C(NC1=CN=NS1)NC1=CC=CC=C1,Training,46.3,36.22217234585508,-3.12,1.128,12,1.331,0.237,1.035,5.702,5.162,3.472,1.31,3.583,1.298,3.623,7.639,1.143,3.826,4.027,1.887,3.533,0.936,1.47,3.7,0.439,1.192,1.422,10.077827654144919,0.5920882881464826,Good
